Customer_ID,Customer_Status,Churn,Churn_Score,Churn_Category,Churn_Reason,Satisfaction_Score,CLTV,Age,Gender,Senior_Citizen,Tenure_in_Months,Contract,Monthly_Charge,Total_Charges,Total_Revenue,Internet_Service,Internet_Type,Phone_Service,Unlimited_Data,Avg_Monthly_GB_Download,Avg_Monthly_Long_Distance_Charges,City,State,Country,Payment_Method
7794-JASDG,Joined,0,80,,,3,2250,37,Male,0,1,Month-to-Month,$50.75,$50.75,$96.52,1,DSL,1,1,20,$45.77,Winchester,California,United States,Credit Card
3656-TKRVZ,Churned,1,65,Competitor,Competitor offered more data,2,5787,19,Female,0,3,Month-to-Month,$55.35,$165.20,$168.92,1,DSL,1,1,52,$1.24,Chula Vista,California,United States,Bank Withdrawal
5546-BYZSM,Stayed,0,80,,,5,2839,52,Female,0,41,Month-to-Month,$20.45,$775.60,"$1,410.28",0,,1,0,0,$15.48,Oak View,California,United States,Bank Withdrawal
6693-FRIRW,Stayed,0,80,,,3,5948,61,Male,0,18,Month-to-Month,$101.30,"$1,794.65","$1,930.73",1,Fiber Optic,1,1,20,$7.56,Newport Beach,California,United States,Credit Card
7291-CDTMJ,Joined,0,80,,,3,3075,40,Male,0,1,Month-to-Month,$19.65,$19.65,$33.50,0,,1,0,0,$13.85,Laguna Beach,California,United States,Bank Withdrawal
6521-YYTYI,Churned,1,65,Other,Moved,3,2578,59,Male,0,1,Month-to-Month,$93.30,$93.30,$101.29,1,Fiber Optic,1,1,30,$7.99,Navarro,California,United States,Bank Withdrawal
0958-YHXGP,Stayed,0,80,,,4,4562,25,Female,0,7,Month-to-Month,$69.90,$497.30,$714.23,1,Fiber Optic,1,1,42,$30.99,Oakland,California,United States,Credit Card
2740-TVLFN,Joined,0,80,,,3,3043,42,Male,0,1,Month-to-Month,$50.15,$50.15,$90.02,1,DSL,1,1,2,$39.87,Manteca,California,United States,Bank Withdrawal
5148-ORICT,Stayed,0,80,,,3,4781,23,Female,0,64,Two Year,$74.35,"$4,759.55","$5,913.47",1,Cable,1,1,42,$18.03,Olivehurst,California,United States,Mailed Check
4918-QLLIW,Churned,1,65,Other,Don't know,2,2755,23,Male,0,3,Month-to-Month,$53.40,$188.70,$331.74,1,DSL,1,1,82,$47.68,Santa Monica,California,United States,Credit Card
5351-QESIO,Joined,0,80,,,5,4276,64,Male,0,1,Month-to-Month,$24.20,$24.20,$24.20,1,Cable,0,1,17,$0.00,San Diego,California,United States,Mailed Check
5429-LWCMV,Stayed,0,80,,,5,4041,52,Female,0,12,Month-to-Month,$89.15,"$1,057.55","$1,544.31",1,Fiber Optic,1,0,6,$34.73,Gardena,California,United States,Bank Withdrawal
6313-GIDIT,Churned,1,65,Price,Price too high,2,6280,73,Male,1,53,Month-to-Month,$54.45,"$2,854.55","$2,834.39",1,DSL,0,1,25,$0.00,Point Arena,California,United States,Bank Withdrawal
2154-KVJFF,Churned,1,65,Dissatisfaction,Limited range of services,3,2813,42,Female,0,15,Month-to-Month,$79.75,"$1,111.85","$1,754.30",1,Fiber Optic,1,1,21,$42.83,Stevinson,California,United States,Bank Withdrawal
7315-WYOAW,Stayed,0,80,,,3,5985,29,Male,0,13,Month-to-Month,$100.75,"$1,313.25","$2,010.84",1,Fiber Optic,1,0,41,$44.43,Santa Monica,California,United States,Bank Withdrawal
3935-TBRZZ,Stayed,0,80,,,3,3037,54,Male,0,44,One Year,$25.70,"$1,110.50","$1,785.02",0,,1,0,0,$15.33,Twentynine Palms,California,United States,Credit Card
6682-QJDGB,Churned,1,65,Competitor,Competitor made better offer,1,2810,20,Male,0,40,Month-to-Month,$55.25,"$2,139.20","$2,462.40",1,DSL,1,1,76,$8.08,San Diego,California,United States,Mailed Check
8785-EPNCG,Churned,1,65,Competitor,Competitor made better offer,1,5671,42,Male,0,11,Month-to-Month,$23.15,$245.20,$585.21,0,,1,0,0,$30.91,Sacramento,California,United States,Credit Card
9552-TGUZV,Stayed,0,80,,,3,5413,57,Male,0,8,Month-to-Month,$75.00,$658.10,$823.46,1,Fiber Optic,1,1,18,$20.67,Upland,California,United States,Credit Card
5018-LXQQG,Stayed,0,80,,,3,4631,47,Female,0,30,Month-to-Month,$66.30,"$1,923.50","$2,417.90",1,DSL,1,1,17,$16.48,Torrance,California,United States,Bank Withdrawal
4580-TMHJU,Churned,1,65,Other,Don't know,2,2152,57,Female,0,43,Month-to-Month,$56.15,"$2,499.30","$4,101.05",1,DSL,1,1,20,$37.25,Avenal,California,United States,Bank Withdrawal
9122-UMROB,Joined,0,80,,,4,4270,29,Male,0,1,Month-to-Month,$20.30,$20.30,$31.14,0,,1,0,0,$10.84,Los Angeles,California,United States,Credit Card
6693-DJWTY,Stayed,0,80,,,3,5964,46,Female,0,35,One Year,$55.60,"$2,016.45","$2,456.05",1,DSL,1,1,56,$12.56,Inglewood,California,United States,Credit Card
9084-OAYKL,Stayed,0,80,,,4,4758,29,Male,0,58,Two Year,$20.80,"$1,212.25","$4,055.41",0,,1,0,0,$49.02,Little River,California,United States,Credit Card
6595-COKXZ,Churned,1,65,Attitude,Attitude of service provider,3,4879,63,Female,0,1,Month-to-Month,$44.45,$44.45,$92.76,1,Cable,1,1,22,$48.31,Plymouth,California,United States,Mailed Check
3066-RRJIO,Churned,1,65,Competitor,Competitor made better offer,3,5341,29,Female,0,1,Month-to-Month,$69.95,$69.95,$82.99,1,Fiber Optic,1,1,46,$13.04,San Francisco,California,United States,Credit Card
3955-JBZZM,Stayed,0,80,,,3,2317,45,Male,0,20,Month-to-Month,$78.80,"$1,641.30","$2,549.10",1,Fiber Optic,1,1,24,$45.39,Hermosa Beach,California,United States,Bank Withdrawal
9314-IJWSQ,Stayed,0,80,,,3,2452,46,Female,0,14,Month-to-Month,$84.80,"$1,203.90","$1,576.02",1,Fiber Optic,1,1,53,$26.58,Meridian,California,United States,Bank Withdrawal
5539-HIVAK,Stayed,0,80,,,4,3136,79,Female,1,28,Month-to-Month,$25.70,$734.60,"$1,450.56",0,,1,0,0,$25.57,Friant,California,United States,Mailed Check
2959-MJHIC,Churned,1,65,Dissatisfaction,Product dissatisfaction,1,4167,60,Male,0,4,Month-to-Month,$80.35,$307.40,$437.12,1,Fiber Optic,1,1,13,$32.43,Hinkley,California,United States,Bank Withdrawal
3766-EJLFL,Stayed,0,80,,,4,6391,55,Female,0,68,Two Year,$109.05,"$7,508.55","$8,761.11",1,Fiber Optic,1,1,53,$18.42,Mill Creek,California,United States,Bank Withdrawal
3439-GVUSX,Joined,0,80,,,3,4570,45,Male,0,1,Month-to-Month,$24.40,$24.40,$24.40,1,DSL,0,1,29,$0.00,Lookout,California,United States,Credit Card
6652-YFFJO,Stayed,0,80,,,5,2775,42,Female,0,11,Month-to-Month,$64.90,$716.10,$865.26,1,Cable,1,1,17,$13.56,Tuolumne,California,United States,Bank Withdrawal
8132-YPVBX,Stayed,0,80,,,5,3291,28,Female,0,6,Month-to-Month,$85.95,$514.60,$758.44,1,Fiber Optic,1,1,51,$40.64,Salinas,California,United States,Credit Card
1442-OKRJE,Stayed,0,80,,,4,4663,40,Male,0,66,One Year,$103.15,"$7,031.30","$9,635.00",1,Fiber Optic,1,1,19,$39.45,Los Angeles,California,United States,Bank Withdrawal
2400-XIWIO,Stayed,0,80,,,3,5054,30,Female,0,71,Two Year,$90.10,"$6,310.90","$7,896.33",1,Cable,1,1,71,$22.33,Lucerne,California,United States,Bank Withdrawal
2499-AJYUA,Stayed,0,80,,,5,5933,69,Female,1,72,Two Year,$110.80,"$7,882.25","$9,023.45",1,Fiber Optic,1,1,2,$15.85,Benton,California,United States,Credit Card
6876-ADESB,Churned,1,65,Competitor,Competitor offered higher download speeds,1,3913,22,Male,0,1,Month-to-Month,$48.95,$48.95,$83.35,1,Cable,1,1,52,$34.40,Etna,California,United States,Bank Withdrawal
6968-GMKPR,Stayed,0,80,,,3,5167,39,Female,0,55,Month-to-Month,$81.55,"$4,509.50","$5,738.20",1,Fiber Optic,1,1,4,$22.34,French Gulch,California,United States,Bank Withdrawal
1187-WILMM,Stayed,0,80,,,3,5004,39,Male,0,63,Two Year,$89.40,"$5,597.65","$8,404.30",1,DSL,1,1,29,$44.55,Lindsay,California,United States,Credit Card
9840-EFJQB,Joined,0,80,,,4,4237,43,Female,0,1,Month-to-Month,$74.35,$74.35,$98.76,1,Fiber Optic,1,1,4,$24.41,Sylmar,California,United States,Bank Withdrawal
4195-SMMNX,Churned,1,65,Attitude,Attitude of support person,2,5627,62,Male,0,2,Month-to-Month,$20.35,$33.20,$97.26,0,,1,0,0,$32.03,Hydesville,California,United States,Mailed Check
3396-DKDEL,Stayed,0,80,,,4,4388,45,Female,0,70,Two Year,$115.15,"$8,250.00","$9,045.20",1,Fiber Optic,1,1,53,$11.36,King City,California,United States,Credit Card
5125-CNDSP,Stayed,0,80,,,3,6406,48,Male,0,63,One Year,$40.60,"$2,588.95","$2,588.95",1,DSL,0,1,28,$0.00,Big Creek,California,United States,Bank Withdrawal
0696-UKTOX,Stayed,0,80,,,4,2496,64,Male,0,23,Month-to-Month,$54.15,"$1,312.45","$1,545.65",1,Cable,1,0,27,$8.40,North Hills,California,United States,Bank Withdrawal
8642-GVWRF,Churned,1,65,Competitor,Competitor had better devices,1,3039,25,Female,0,2,Month-to-Month,$79.70,$165.00,$222.72,1,Fiber Optic,1,1,26,$28.86,Capitola,California,United States,Bank Withdrawal
0871-OPBXW,Joined,0,80,,,3,5191,57,Female,0,2,Month-to-Month,$20.05,$39.25,$52.95,0,,1,0,0,$6.85,Escondido,California,United States,Mailed Check
9831-BPFRI,Churned,1,65,Dissatisfaction,Poor expertise of online support,2,3849,50,Female,0,39,One Year,$89.55,"$3,474.45","$4,851.93",1,Fiber Optic,1,1,30,$35.32,Ferndale,California,United States,Bank Withdrawal
6384-VMJHP,Stayed,0,80,,,4,5127,23,Female,0,72,Two Year,$73.00,"$5,265.20","$6,922.64",1,Cable,1,1,69,$23.02,Bethel Island,California,United States,Credit Card
8076-FEZKJ,Stayed,0,80,,,3,5039,58,Male,0,10,One Year,$19.50,$225.85,$382.95,0,,1,0,0,$15.71,Silverado,California,United States,Credit Card
0374-FIUCA,Stayed,0,80,,,3,5368,59,Male,0,65,Two Year,$20.40,"$1,414.45","$2,939.35",0,,1,0,0,$23.46,Orange,California,United States,Credit Card
0454-OKRCT,Stayed,0,80,,,4,5542,32,Male,0,33,Two Year,$80.60,"$2,651.10","$3,801.15",1,Fiber Optic,1,1,27,$34.85,Palo Alto,California,United States,Bank Withdrawal
2866-IKBTM,Joined,0,80,,,4,3968,57,Female,0,1,Month-to-Month,$19.55,$19.55,$60.18,0,,1,0,0,$40.63,Dana Point,California,United States,Credit Card
4680-KUTAJ,Stayed,0,80,,,4,5014,73,Female,1,11,Two Year,$55.60,$580.80,$596.51,1,DSL,1,1,3,$2.81,Beverly Hills,California,United States,Bank Withdrawal
8777-MBMTS,Stayed,0,80,,,4,4872,65,Female,1,65,Two Year,$105.85,"$6,725.50","$9,097.35",1,Fiber Optic,1,1,9,$36.49,West Covina,California,United States,Credit Card
5236-XMZJY,Stayed,0,80,,,3,3048,27,Female,0,42,Month-to-Month,$59.65,"$2,536.55","$3,463.91",1,Cable,1,1,26,$22.08,Los Angeles,California,United States,Bank Withdrawal
5568-DMXZS,Stayed,0,80,,,5,5227,36,Female,0,8,Month-to-Month,$65.45,$554.45,$853.41,1,Cable,1,1,16,$37.37,San Diego,California,United States,Bank Withdrawal
9136-ALYBR,Churned,1,65,Price,Extra data charges,3,2121,44,Male,0,1,Month-to-Month,$24.45,$24.45,$24.45,1,Cable,0,1,2,$0.00,Fontana,California,United States,Mailed Check
4536-PLEQY,Stayed,0,80,,,3,2540,44,Male,0,12,Month-to-Month,$85.05,$999.80,"$1,535.00",1,Fiber Optic,1,1,20,$44.60,Los Angeles,California,United States,Credit Card
3173-NVMPX,Stayed,0,80,,,5,4291,51,Female,0,9,Month-to-Month,$55.30,$501.20,$711.44,1,DSL,1,1,22,$23.36,Newport Beach,California,United States,Credit Card
8189-DUKMV,Stayed,0,80,,,5,3233,52,Female,0,4,One Year,$20.50,$79.05,$257.97,0,,1,0,0,$44.73,Rancho Cordova,California,United States,Bank Withdrawal
2796-NNUFI,Stayed,0,80,,,5,5480,56,Female,0,46,Two Year,$19.95,$927.10,"$2,328.72",0,,1,0,0,$30.47,Palos Verdes Peninsula,California,United States,Credit Card
8285-ABVLB,Stayed,0,79,,,4,4311,34,Female,0,70,Two Year,$19.85,"$1,328.35","$4,158.76",0,,1,0,0,$40.91,Santa Barbara,California,United States,Credit Card
6821-BUXUX,Churned,1,65,Competitor,Competitor made better offer,1,2110,28,Female,0,13,Month-to-Month,$96.65,"$1,244.50","$1,465.76",1,Fiber Optic,1,1,41,$17.02,Temecula,California,United States,Bank Withdrawal
5789-LDFXO,Stayed,0,79,,,3,5448,60,Male,0,24,One Year,$24.60,$592.65,"$1,728.57",0,,1,0,0,$47.33,Baker,California,United States,Bank Withdrawal
9362-MWODR,Stayed,0,79,,,3,5056,63,Female,0,40,Month-to-Month,$64.10,"$2,460.35","$3,265.55",1,DSL,1,1,10,$20.13,San Mateo,California,United States,Credit Card
5820-PTRYM,Stayed,0,79,,,4,4368,75,Female,1,56,One Year,$68.45,"$4,014.00","$5,515.92",1,Cable,1,1,18,$26.82,Chula Vista,California,United States,Credit Card
5049-MUBWG,Stayed,0,79,,,3,4705,24,Male,0,26,One Year,$75.00,"$1,908.35","$3,198.21",1,DSL,1,1,76,$49.61,Carmel By The Sea,California,United States,Bank Withdrawal
2927-QRRQV,Stayed,0,79,,,4,4120,44,Male,0,46,One Year,$94.65,"$4,312.50","$4,778.48",1,Fiber Optic,1,1,3,$10.13,Scott Bar,California,United States,Bank Withdrawal
4480-QQRHC,Stayed,0,79,,,3,4899,72,Female,1,8,Two Year,$74.05,$600.15,$617.59,1,Fiber Optic,1,1,13,$2.18,Hydesville,California,United States,Bank Withdrawal
1257-SXUXQ,Stayed,0,79,,,3,4573,20,Male,0,5,Month-to-Month,$19.45,$86.05,$126.25,0,,1,0,0,$8.04,Jenner,California,United States,Credit Card
3729-OWRVL,Stayed,0,79,,,3,4295,80,Male,1,65,Two Year,$110.35,"$7,246.15","$10,121.10",1,Fiber Optic,1,1,27,$44.23,Pixley,California,United States,Bank Withdrawal
5730-RIITO,Stayed,0,79,,,3,4757,73,Female,1,43,Two Year,$33.45,"$1,500.25","$1,540.25",1,DSL,0,0,18,$0.00,Willows,California,United States,Credit Card
9504-YAZWB,Stayed,0,79,,,4,4218,28,Female,0,53,Two Year,$20.25,"$1,048.45","$2,556.83",0,,1,0,0,$28.46,Mountain Center,California,United States,Credit Card
0822-GAVAP,Churned,1,65,Competitor,Competitor made better offer,1,3146,19,Female,0,2,Month-to-Month,$34.70,$62.25,$62.25,1,DSL,0,1,76,$0.00,Posey,California,United States,Bank Withdrawal
9795-SHUHB,Stayed,0,79,,,3,5313,26,Female,0,66,Two Year,$58.20,"$3,810.80","$5,412.62",1,Cable,1,1,59,$24.27,The Sea Ranch,California,United States,Credit Card
0936-NQLJU,Stayed,0,79,,,3,5062,40,Female,0,41,Two Year,$20.65,$875.55,"$1,221.59",0,,1,0,0,$8.44,Mokelumne Hill,California,United States,Credit Card
7908-QCBCA,Churned,1,65,Competitor,Competitor had better devices,1,2404,47,Female,0,1,Month-to-Month,$69.40,$69.40,$112.86,1,Fiber Optic,1,0,12,$33.46,Atwater,California,United States,Mailed Check
1307-TVUFB,Stayed,0,79,,,4,2399,66,Male,1,42,One Year,$79.35,"$3,344.10","$3,911.52",1,Fiber Optic,1,1,19,$13.51,Santa Ynez,California,United States,Bank Withdrawal
7442-YGZFK,Joined,0,79,,,4,4796,31,Male,0,1,Month-to-Month,$49.80,$49.80,$53.77,1,DSL,1,1,11,$3.97,Campo,California,United States,Credit Card
1194-SPVSP,Joined,0,79,,,3,3625,20,Male,0,1,Month-to-Month,$19.65,$19.65,$47.53,0,,1,0,0,$27.88,Soquel,California,United States,Bank Withdrawal
4174-LPGTI,Churned,1,65,Other,Moved,3,2517,49,Female,0,41,One Year,$66.50,"$2,728.60","$4,041.42",1,DSL,1,1,28,$32.02,Beaumont,California,United States,Bank Withdrawal
6322-HRPFA,Stayed,0,79,,,3,4986,42,Male,0,49,Month-to-Month,$59.60,"$2,970.30","$3,229.51",1,Cable,1,1,30,$5.29,Los Angeles,California,United States,Credit Card
3654-ARMGP,Stayed,0,79,,,4,4730,60,Female,0,61,Two Year,$88.65,"$5,321.25","$6,515.63",1,DSL,1,1,22,$19.58,Los Angeles,California,United States,Credit Card
6891-JPYFF,Stayed,0,79,,,3,4275,57,Female,0,48,Month-to-Month,$105.25,"$4,997.50","$6,455.52",1,Fiber Optic,1,1,53,$30.41,San Jose,California,United States,Credit Card
7036-ZZKBD,Stayed,0,79,,,4,3282,56,Male,0,31,Month-to-Month,$66.40,"$2,019.80","$2,804.10",1,Cable,1,1,28,$25.30,Lincoln,California,United States,Credit Card
4495-LHSSK,Stayed,0,79,,,3,3425,25,Female,0,18,Month-to-Month,$57.65,$992.70,"$1,307.88",1,DSL,1,1,30,$17.51,Camp Nelson,California,United States,Credit Card
7284-ZZLOH,Stayed,0,79,,,3,2929,37,Male,0,45,Two Year,$53.30,"$2,296.25","$4,333.40",1,DSL,1,0,4,$43.27,Alta,California,United States,Credit Card
7647-GYYKX,Stayed,0,79,,,3,5646,48,Female,0,54,Two Year,$20.35,"$1,092.35","$3,356.57",0,,1,0,0,$41.93,San Marcos,California,United States,Bank Withdrawal
7169-YWAMK,Stayed,0,79,,,3,5504,52,Male,0,72,Two Year,$68.40,"$4,855.35","$6,004.47",1,DSL,1,1,26,$15.96,Sunol,California,United States,Bank Withdrawal
5099-BAILX,Churned,1,65,Competitor,Competitor made better offer,2,2728,77,Male,1,43,Month-to-Month,$110.75,"$4,687.90","$5,312.26",1,Fiber Optic,1,1,5,$14.52,Santa Barbara,California,United States,Bank Withdrawal
4295-YURET,Stayed,0,79,,,4,6357,78,Female,1,56,Two Year,$72.60,"$4,084.35","$4,556.43",1,DSL,1,0,19,$5.93,San Quentin,California,United States,Credit Card
5348-CAGXB,Stayed,0,79,,,4,2325,60,Male,0,12,Month-to-Month,$89.55,"$1,021.75","$1,422.07",1,Fiber Optic,1,1,22,$33.36,Irvine,California,United States,Bank Withdrawal
5380-WJKOV,Churned,1,65,Competitor,Competitor offered higher download speeds,2,2941,51,Male,0,34,Month-to-Month,$106.35,"$3,549.25","$4,286.71",1,Fiber Optic,1,1,28,$21.69,Los Angeles,California,United States,Bank Withdrawal
1073-XXCZD,Stayed,0,79,,,4,6228,54,Male,0,55,Two Year,$25.70,"$1,443.65","$2,115.20",0,,1,0,0,$12.21,Bakersfield,California,United States,Bank Withdrawal
6036-TTFYU,Stayed,0,79,,,3,4298,48,Female,0,16,Month-to-Month,$19.60,$314.45,"$1,037.38",0,,1,0,0,$46.86,Thousand Oaks,California,United States,Credit Card
7312-XSBAT,Joined,0,79,,,4,2908,47,Male,0,1,Month-to-Month,$49.75,$49.75,$91.54,1,DSL,1,1,14,$41.79,Bakersfield,California,United States,Bank Withdrawal
7596-IIWYC,Stayed,0,79,,,3,5250,62,Female,0,27,Two Year,$20.25,$538.20,"$1,503.99",0,,1,0,0,$35.77,Fiddletown,California,United States,Bank Withdrawal
3472-OAOOR,Stayed,0,79,,,3,3422,23,Male,0,19,Month-to-Month,$34.95,$610.20,$610.20,1,Cable,0,1,52,$0.00,Mission Hills,California,United States,Credit Card
2516-VQRRV,Churned,1,65,Price,Long distance charges,3,3350,77,Female,1,2,Month-to-Month,$75.45,$158.40,$205.32,1,Fiber Optic,1,1,25,$23.46,Culver City,California,United States,Credit Card
6988-CJEYV,Stayed,0,79,,,3,6148,56,Male,0,49,Month-to-Month,$98.70,"$4,920.55","$7,148.09",1,Fiber Optic,1,1,27,$45.46,Crows Landing,California,United States,Bank Withdrawal
7272-QDCKA,Stayed,0,79,,,3,5137,31,Male,0,28,One Year,$100.20,"$2,688.45","$2,991.89",1,Fiber Optic,1,1,13,$12.36,Oroville,California,United States,Bank Withdrawal
9907-SWKKF,Churned,1,65,Competitor,Competitor had better devices,1,4842,69,Female,1,1,Month-to-Month,$25.05,$25.05,$25.05,1,DSL,0,1,21,$0.00,Twain,California,United States,Credit Card
3092-IGHWF,Churned,1,65,Competitor,Competitor made better offer,2,4421,34,Male,0,67,One Year,$87.40,"$5,918.80","$7,821.60",1,Cable,1,1,10,$28.40,San Diego,California,United States,Bank Withdrawal
3452-SRFEG,Stayed,0,79,,,5,4516,39,Male,0,49,Month-to-Month,$74.60,"$3,720.35","$4,887.53",1,Fiber Optic,1,1,18,$23.82,La Verne,California,United States,Bank Withdrawal
1436-ZMJAN,Stayed,0,79,,,5,2709,62,Female,0,10,Month-to-Month,$67.80,$653.15,"$1,023.95",1,Cable,1,1,7,$37.08,Gerber,California,United States,Credit Card
3910-MRQOY,Stayed,0,79,,,3,5398,28,Female,0,72,Two Year,$19.40,"$1,496.45","$2,423.09",0,,1,0,0,$12.87,Orick,California,United States,Bank Withdrawal
5522-NYKPB,Stayed,0,79,,,3,3153,26,Male,0,25,Month-to-Month,$85.90,"$2,199.05","$2,493.80",1,Fiber Optic,1,1,59,$11.79,Burney,California,United States,Bank Withdrawal
2595-KIWPV,Stayed,0,79,,,3,4052,48,Male,0,27,Two Year,$19.70,$509.30,"$1,380.86",0,,1,0,0,$32.28,Tecate,California,United States,Credit Card
4484-GLZOU,Churned,1,65,Other,Don't know,2,4839,20,Female,0,52,Month-to-Month,$105.05,"$5,624.85","$6,147.93",1,Fiber Optic,1,1,48,$10.59,San Dimas,California,United States,Bank Withdrawal
8807-ARQET,Stayed,0,79,,,5,2454,59,Female,0,41,Month-to-Month,$40.35,"$1,677.85","$1,677.85",1,Cable,0,1,21,$0.00,Angels Camp,California,United States,Bank Withdrawal
4012-YCFAI,Stayed,0,79,,,3,6174,45,Male,0,60,Two Year,$61.35,"$3,766.20","$5,099.40",1,DSL,1,1,16,$22.22,Riverside,California,United States,Credit Card
1120-BMWUB,Churned,1,65,Other,Don't know,3,5091,36,Female,0,16,Month-to-Month,$53.90,$834.15,$983.91,1,DSL,1,0,8,$6.86,Los Angeles,California,United States,Credit Card
7168-HDQHG,Stayed,0,79,,,5,3043,56,Female,0,36,Month-to-Month,$19.20,$702.90,"$1,443.42",0,,1,0,0,$20.57,Brownsville,California,United States,Bank Withdrawal
2971-SGAFL,Stayed,0,79,,,4,5631,34,Female,0,13,Month-to-Month,$78.75,$995.35,"$1,544.55",1,DSL,1,0,23,$38.40,Millbrae,California,United States,Bank Withdrawal
9878-TNQGW,Churned,1,65,Competitor,Competitor made better offer,3,3533,51,Male,0,2,Month-to-Month,$80.95,$171.15,$205.81,1,Fiber Optic,1,1,14,$17.33,Davenport,California,United States,Bank Withdrawal
2235-EZAIK,Stayed,0,79,,,4,4288,21,Female,0,72,Two Year,$79.20,"$5,401.90","$7,035.42",1,DSL,1,0,59,$22.41,Badger,California,United States,Credit Card
6689-TCZHQ,Churned,1,65,Attitude,Attitude of support person,3,4054,70,Female,1,5,Month-to-Month,$78.95,$378.40,$439.75,1,Fiber Optic,1,1,20,$12.27,Claremont,California,United States,Bank Withdrawal
1095-JUDTC,Churned,1,65,Competitor,Competitor offered higher download speeds,2,5214,78,Female,1,47,Month-to-Month,$95.05,"$4,504.55","$5,172.89",1,Fiber Optic,1,1,11,$14.22,Woodbridge,California,United States,Bank Withdrawal
7799-LGRDP,Stayed,0,79,,,4,2017,42,Female,0,43,Two Year,$25.70,"$1,188.20","$2,285.99",0,,1,0,0,$25.53,Lakewood,California,United States,Credit Card
3757-NJYBX,Churned,1,65,Other,Moved,2,4113,77,Male,1,32,Month-to-Month,$106.35,"$3,520.75","$3,774.19",1,Fiber Optic,1,1,3,$7.92,Nipomo,California,United States,Bank Withdrawal
4455-BFSPD,Stayed,0,79,,,3,5177,35,Female,0,61,One Year,$101.15,"$6,383.90","$8,587.83",1,Fiber Optic,1,1,23,$36.13,Escondido,California,United States,Bank Withdrawal
3594-BDSOA,Stayed,0,79,,,5,3071,44,Female,0,24,One Year,$20.40,$482.80,"$1,343.44",0,,1,0,0,$35.86,Novato,California,United States,Credit Card
8749-CLJXC,Joined,0,79,,,5,2067,56,Male,0,1,Month-to-Month,$20.05,$20.05,$33.56,0,,1,0,0,$13.51,Ahwahnee,California,United States,Credit Card
6490-FGZAT,Stayed,0,79,,,5,3266,33,Male,0,6,Month-to-Month,$20.65,$109.30,$303.34,0,,1,0,0,$32.34,Strathmore,California,United States,Credit Card
